Month,Demand (000 t),Commodity,Origin,Status
2025-01-01,172,Thermal Coal,Richards Bay,Historical
2025-02-01,178,Thermal Coal,Richards Bay,Historical
2025-03-01,184,Thermal Coal,Richards Bay,Historical
2025-04-01,181,Thermal Coal,Richards Bay,Historical
2025-05-01,190,Thermal Coal,Richards Bay,Historical
2025-06-01,196,Thermal Coal,Richards Bay,Historical
2025-07-01,203,Thermal Coal,Richards Bay,Historical
2025-08-01,207,Thermal Coal,Richards Bay,Historical
2025-09-01,211,Thermal Coal,Richards Bay,Historical
2025-10-01,218,Thermal Coal,Richards Bay,Historical
2025-11-01,224,Thermal Coal,Richards Bay,Historical
2025-12-01,230,Thermal Coal,Richards Bay,Historical
2026-01-01,227,Thermal Coal,Richards Bay,Historical
2026-02-01,235,Thermal Coal,Richards Bay,Historical
2026-03-01,241,Thermal Coal,Richards Bay,Historical
2026-04-01,247,Thermal Coal,Richards Bay,Historical
2026-05-01,252,Thermal Coal,Richards Bay,Historical
2026-06-01,258,Thermal Coal,Richards Bay,Historical
2026-07-01,264,Thermal Coal,Richards Bay,Historical
2026-08-01,270,Thermal Coal,Richards Bay,Historical
